Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
ENT agent,1,Cortril,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cortril,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Cortril,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Corynebacterium parvum,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cosmetic preparation,0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
Cosmetics,0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
Cosyntropin,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Cotarnine,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
Co-trimoxazole,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Cottonseed oil,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Cough mixture(syrup),0,,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
containing opiates,1,Cough mixture(syrup),T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
expectorants,1,Cough mixture(syrup),T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
Coumadin,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
rodenticide,1,Coumadin,T60.4X1,T60.4X2,T60.4X3,T60.4X4,,
Coumaphos,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Coumarin,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Coumetarol,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Cowbane,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cozyme,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Crack,0,,T40.5X1,T40.5X2,T40.5X3,T40.5X4,,
Crataegus extract,0,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
Creolin,0,,T54.1X1,T54.1X2,T54.1X3,T54.1X4,,
disinfectant,1,Creolin,T54.1X1,T54.1X2,T54.1X3,T54.1X4,,
Creosol(compound),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Creosote(coal tar) (beechwood),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
medicinal(expectorant),1,Creosote(coal tar) (beechwood),T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
syrup,1,Creosote(coal tar) (beechwood),T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
Cresol(s),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
and soap solution,1,Cresol(s),T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cresyl acetate,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cresylic acid,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Crimidine,0,,T60.4X1,T60.4X2,T60.4X3,T60.4X4,,
Croconazole,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Cromoglicic acid,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Cromolyn,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Cromonar,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Cropropamide,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
with crotethamide,1,Cropropamide,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Crotamiton,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Crotethamide,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
with cropropamide,1,Crotethamide,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Croton(oil),0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
chloral,1,Croton(oil),T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Crude oil,0,,T52.0X1,T52.0X2,T52.0X3,T52.0X4,,
Cryogenine,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Cryolite(vapor),0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
insecticide,1,Cryolite(vapor),T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Cryptenamine(tannates),0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Crystal violet,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cuckoopint,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cumetharol,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Cupric,0,,,,,,,
acetate,1,Cupric,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
acetoarsenite,1,Cupric,T57.0X1,T57.0X2,T57.0X3,T57.0X4,,
arsenate,1,Cupric,T57.0X1,T57.0X2,T57.0X3,T57.0X4,,
gluconate,1,Cupric,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
oleate,1,Cupric,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
sulfate,1,Cupric,T56.4X1,T56.4X2,T56.4X3,T56.4X4,,
Cuprous sulfate,0,,T56.4X1,T56.4X2,T56.4X3,T56.4X4,,
"Curare, curarine",0,,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
Cyamemazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Cyamopsis tetragono-loba,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Cyanacetyl hydrazide,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Cyanic acid(gas),0,,T59.891,T59.892,T59.893,T59.894,,
Cyanide(s) (compounds) (potassium) (sodium) NEC,0,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
dust or gas(inhalation) NEC,1,Cyanide(s) (compounds) (potassium) (sodium) NEC,T57.3X1,T57.3X2,T57.3X3,T57.3X4,,
fumigant,1,Cyanide(s) (compounds) (potassium) (sodium) NEC,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
hydrogen,1,Cyanide(s) (compounds) (potassium) (sodium) NEC,T57.3X1,T57.3X2,T57.3X3,T57.3X4,,
mercuric,1,Cyanide(s) (compounds) (potassium) (sodium) NEC,,,,,,
pesticide(dust) (fumes),1,Cyanide(s) (compounds) (potassium) (sodium) NEC,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
Cyanoacrylate adhesive,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Cyanocobalamin,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Cyanogen(chloride) (gas) NEC,0,,T59.891,T59.892,T59.893,T59.894,,
Cyclacillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Cyclaine,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Cyclamate,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Cyclamen europaeum,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cyclandelate,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Cyclazocine,0,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Cyclizine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Cyclobarbital,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Cyclobarbitone,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Cyclobenzaprine,0,,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
Cyclodrine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Cycloguanil embonate,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Cyclohexane,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Cyclohexanol,0,,T51.8X1,T51.8X2,T51.8X3,T51.8X4,,
Cyclohexanone,0,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
Cycloheximide,0,,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
Cyclohexyl acetate,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Cycloleucin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cyclomethycaine,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Cyclopentamine,0,,T44.4X1,T44.4X2,T44.4X3,T44.4X4,T44.4X5,T44.4X6
Cyclopenthiazide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Cyclopentolate,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Cyclophosphamide,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cycloplegic drug,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Cyclopropane,0,,T41.291,T41.292,T41.293,T41.294,T41.295,T41.296
Cyclopyrabital,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Cycloserine,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Cyclosporin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cyclothiazide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Cycrimine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Cyhalothrin,0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Cymarin,0,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
Cypermethrin,0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Cyphenothrin,0,,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
Cyproheptadine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Cyproterone,0,,T38.6X1,T38.6X2,T38.6X3,T38.6X4,T38.6X5,T38.6X6
Cysteamine,0,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
Cytarabine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cytisus,0,,,,,,,
laburnum,1,Cytisus,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
scoparius,1,Cytisus,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cytochrome C,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
Cytomel,0,,T38.1X1,T38.1X2,T38.1X3,T38.1X4,T38.1X5,T38.1X6
Cytosine arabinoside,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cytoxan,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cytozyme,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
"2,4-D",0,,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
Dacarbazine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Dactinomycin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
DADPS,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Dakin's solution,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Dalapon(sodium),0,,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
Dalmane,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Danazol,0,,T38.6X1,T38.6X2,T38.6X3,T38.6X4,T38.6X5,T38.6X6
Danilone,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Danthron,0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Dantrolene,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
Dantron,0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Daphne(gnidium) (mezereum),0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
berry,1,Daphne(gnidium) (mezereum),T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Dapsone,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Daraprim,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Darnel,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Darvon,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Daunomycin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Daunorubicin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
DBI,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
D-Con,0,,T60.91,T60.92,T60.93,T60.94,,
insecticide,1,D-Con,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
rodenticide,1,D-Con,T60.4X1,T60.4X2,T60.4X3,T60.4X4,,
DDAVP,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
DDE(bis(chlorophenyl)-dichloroethylene),0,,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
DDS,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
DDT(dust),0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Deadly nightshade,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
berry,1,Deadly nightshade,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Deamino-D-arginine vasopressin,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Deanol(aceglumate),0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Debrisoquine,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Decaborane,0,,T57.8X1,T57.8X2,T57.8X3,T57.8X4,,
fumes,1,Decaborane,T59.891,T59.892,T59.893,T59.894,,
Decadron,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Decadron,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Decadron,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Decadron,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Decahydronaphthalene,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Decalin,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Decamethonium(bromide),0,,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
Decholin,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
Declomycin,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
"Decongestant, nasal(mucosa)",0,,T48.5X1,T48.5X2,T48.5X3,T48.5X4,T48.5X5,T48.5X6
combination,1,Decongestant, nasal(mucosa),T48.5X1,T48.5X2,T48.5X3,T48.5X4,T48.5X5,T48.5X6
Deet,0,,T60.8X1,T60.8X2,T60.8X3,T60.8X4,,
Deferoxamine,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Deflazacort,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Deglycyrrhizinized extract of licorice,0,,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
Dehydrocholic acid,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
Dehydroemetine,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
Dekalin,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Delalutin,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Delorazepam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Delphinium,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Deltamethrin,0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Deltasone,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Deltra,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Delvinal,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Demecarium(bromide),0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Demeclocycline,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
Demecolcine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Demegestone,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Demelanizing agents,0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
Demephion -O and -S,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Demerol,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Demethylchlortetracycline,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
Demethyltetracycline,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
Demeton -O and -S,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Demulcent(external),0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
specified NEC,1,Demulcent(external),T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Demulen,0,,T38.4X1,T38.4X2,T38.4X3,T38.4X4,T38.4X5,T38.4X6
Denatured alcohol,0,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
Dendrid,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
"Dental drug, topical application NEC",0,,T49.7X1,T49.7X2,T49.7X3,T49.7X4,T49.7X5,T49.7X6
Dentifrice,0,,T49.7X1,T49.7X2,T49.7X3,T49.7X4,T49.7X5,T49.7X6
Deodorant spray(feminine hygiene),0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
Deoxycortone,0,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
2-Deoxy-5-fluorouridine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
5-Deoxy-5-fluorouridine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Deoxyribonuclease(pancreatic),0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
Depilatory,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Deprenalin,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
Deprenyl,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
"Depressant, appetite",0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Depressant,0,,,,,,,
appetite(central),1,Depressant,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
cardiac,1,Depressant,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
central nervous system(anesthetic),1,Depressant,T42.71,T42.72,T42.73,T42.74,T42.75,T42.76
general anesthetic,2,central nervous system(anesthetic),T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
muscle tone,2,central nervous system(anesthetic),T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
"muscle tone, central",1,Depressant,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
psychotherapeutic,1,Depressant,T43.501,T43.502,T43.503,T43.504,T43.505,T43.506
Deptropine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Dequalinium(chloride),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Derris root,0,,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
Deserpidine,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Desferrioxamine,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Desipramine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Deslanoside,0,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
Desloughing agent,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Desmethylimipramine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Desmopressin,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Desocodeine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Desogestrel,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Desomorphine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Desonide,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Desoximetasone,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Desoxycorticosteroid,0,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
Desoxycortone,0,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
Desoxyephedrine,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Detaxtran,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Detergent,0,,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
external medication,1,Detergent,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
local,1,Detergent,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
medicinal,1,Detergent,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
nonmedicinal,1,Detergent,T55.1X1,T55.1X2,T55.1X3,T55.1X4,,
specified NEC,1,Detergent,T55.1X1,T55.1X2,T55.1X3,T55.1X4,,
"Deterrent, alcohol",0,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
Detoxifying agent,0,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
Detrothyronine,0,,T38.1X1,T38.1X2,T38.1X3,T38.1X4,T38.1X5,T38.1X6
Dettol(external medication),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Dexamethasone,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Dexamethasone,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Dexamethasone,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Dexamethasone,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Dexamfetamine,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Dexamphetamine,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Dexbrompheniramine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Dexchlorpheniramine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Dexedrine,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Dexetimide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Dexfenfluramine,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Dexpanthenol,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Dextran(40) (70) (150),0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Dextriferron,0,,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
Dextro calcium pantothenate,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Dextro pantothenyl alcohol,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Dextroamphetamine,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Dextromethorphan,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Dextromoramide,0,,T40.491,T40.492,T40.493,T40.494,,
topical,1,Dextromoramide,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
Dextropropoxyphene,0,,T40.491,T40.492,T40.493,T40.494,T40.495,T40.496
Dextrorphan,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Dextrose,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
"concentrated solution, intravenous",1,Dextrose,T46.8X1,T46.8X2,T46.8X3,T46.8X4,T46.8X5,T46.8X6
Dextrothyroxin,0,,T38.1X1,T38.1X2,T38.1X3,T38.1X4,T38.1X5,T38.1X6
Dextrothyroxine sodium,0,,T38.1X1,T38.1X2,T38.1X3,T38.1X4,T38.1X5,T38.1X6
DFP,0,,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
DHE,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
45,1,DHE,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Diabinese,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Diacetone alcohol,0,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
Diacetyl monoxime,0,,T50.991,T50.992,T50.993,T50.994,,
Diacetylmorphine,0,,T40.1X1,T40.1X2,T40.1X3,T40.1X4,,
Diachylon plaster,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
